id	s	i	b	t	tgid	c	e	et	t	n
45	2	C	4	10	3	TRUE	click	3	2000	1.51009E+12
1	3	C	1	1	4	TRUE	click	4	2301	1.51016E+12
2	3	C	1	2	0	TRUE	click	0	2289	1.51016E+12
3	3	C	1	3	5	TRUE	click	5	2120	1.51016E+12
4	3	C	1	4	3	TRUE	click	3	2136	1.51016E+12
5	3	C	1	5	1	TRUE	click	1	3695	1.51016E+12
6	3	C	1	6	6	TRUE	click	6	2233	1.51016E+12
7	3	C	1	7	8	TRUE	click	8	2185	1.51016E+12
8	3	C	1	8	9	TRUE	click	9	2176	1.51016E+12
9	3	C	1	9	2	TRUE	click	2	3177	1.51016E+12
10	3	C	1	10	7	TRUE	click	7	2881	1.51016E+12
11	3	C	2	1	5	TRUE	click	5	1760	1.51016E+12
12	3	C	2	2	7	TRUE	click	7	2113	1.51016E+12
13	3	C	2	3	1	TRUE	click	1	3808	1.51016E+12
14	3	C	2	4	6	TRUE	click	6	1816	1.51016E+12
15	3	C	2	5	4	TRUE	click	4	2072	1.51016E+12
16	3	C	2	6	0	TRUE	click	0	2839	1.51016E+12
17	3	C	2	7	3	TRUE	click	3	2000	1.51016E+12
18	3	C	2	8	8	TRUE	click	8	2160	1.51016E+12
19	3	C	2	9	2	TRUE	click	2	2049	1.51016E+12
20	3	C	2	10	9	TRUE	click	9	2369	1.51016E+12
21	3	C	3	1	0	TRUE	click	0	3392	1.51016E+12
22	3	C	3	2	7	TRUE	click	7	2177	1.51016E+12
23	3	C	3	3	1	TRUE	click	1	2456	1.51016E+12
24	3	C	3	4	2	TRUE	click	2	2440	1.51016E+12
25	3	C	3	5	3	TRUE	click	3	2216	1.51016E+12
26	3	C	3	6	6	TRUE	click	6	2312	1.51016E+12
27	3	C	3	7	5	TRUE	click	5	2353	1.51016E+12
28	3	C	3	8	9	TRUE	click	9	2015	1.51016E+12
29	3	C	3	9	8	TRUE	click	8	1913	1.51016E+12
30	3	C	3	10	4	TRUE	click	4	2057	1.51016E+12
31	3	C	4	1	6	TRUE	click	6	2088	1.51016E+12
32	3	C	4	2	2	TRUE	click	2	1961	1.51016E+12
33	3	C	4	3	5	TRUE	click	5	2881	1.51016E+12
34	3	C	4	4	9	TRUE	click	9	2193	1.51016E+12
35	3	C	4	5	1	TRUE	click	1	2744	1.51016E+12
36	3	C	4	6	7	TRUE	click	7	2014	1.51016E+12
37	3	C	4	7	0	TRUE	click	0	1936	1.51016E+12
38	3	C	4	8	8	TRUE	click	8	1984	1.51016E+12
39	3	C	4	9	4	TRUE	click	4	1752	1.51016E+12
40	3	C	4	10	3	TRUE	click	3	1800	1.51016E+12
